escenario,rep,muestra,timestamp,N_peers,cpu_nodo_pct,mem_nodo_pct,egress_tx_Bps,egress_rx_Bps,pod_cpu_m,pod_mem_Mi,bitrate_Mbps,latencia_g2g_ms,startup_ms,stalls_per_min,notas,,timestamp,sistema,escenario,parametro,repeticion,startup_ms,stalls_count,duracion_s,stalls_per_min,fuente_stalls
E1,1,1,2026-07-04T23:36:36,0,8.08,19.43,1316,51,4,252,1.306,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,2,2026-07-04T23:37:10,0,8.04,19.54,1317,51,4,252,1.21,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,3,2026-07-04T23:37:43,0,8.21,19.46,1316,51,4,250,0.844,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,4,2026-07-04T23:38:17,0,8.02,19.4,1317,51,4,250,1.644,N/A,N/A,N/A,,,N/A,P1,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E2,1,1,2026-07-05T10:22:29,1,9.29,14.86,1282,51,23,223,6.719,13200,965.4,0,,,2026-07-05T10:46:48.631Z,P1,E2,N=1,1,965.4,0,118,0,waiting
E2,1,2,2026-07-05T10:22:59,1,9.45,14.79,1283,51,24,244,6.787,13500,904.9,0,,,2026-07-05T10:48:55.008Z,P1,E2,N=1,2,904.9,0,116.3,0,waiting
E2,1,3,2026-07-05T10:23:30,1,9.24,14.81,1284,51,24,244,6.803,13200,856.2,0,,,2026-07-05T10:51:59.648Z,P1,E2,N=1,3,856.2,0,174.9,0,waiting
E2,1,4,2026-07-05T10:24:00,1,9.15,14.78,1285,51,25,219,6.802,13200,900.6,0,,,2026-07-05T10:52:55.462Z,P1,E2,N=1,4,900.6,0,48.7,0,waiting
E2,2,1,2026-07-05T12:58:54,5,10.18,17.85,1303,51,24,249,6.808,15900,898.5,0,,,2026-07-05T11:00:09.052Z,P1,E2,N=5,1,898.5,0,97.2,0,waiting
E2,2,2,2026-07-05T12:59:24,5,10.23,17.28,1302,51,24,249,6.785,15400,892.8,0,,,2026-07-05T11:01:36.654Z,P1,E2,N=5,2,892.8,0,80.3,0,waiting
E2,2,3,2026-07-05T12:59:54,5,10.15,17.02,1302,51,23,221,6.787,15400,883.9,0,,,2026-07-05T11:03:38.332Z,P1,E2,N=5,3,883.9,0,112.8,0,waiting
E2,2,4,2026-07-05T13:00:24,5,10.06,17.05,1301,51,23,221,6.787,15900,910.9,0.41,,,2026-07-05T11:06:12.370Z,P1,E2,N=5,4,910.9,1,147.7,0.41,waiting
E2,3,1,2026-07-05T11:35:57,10,11.28,16.65,1298,51,28,244,6.781,18000,834.1,0,,,2026-07-05T10:27:25.421Z,P1,E2,N=10,1,834.1,0,168.5,0,waiting
E2,3,2,2026-07-05T11:36:27,10,11.47,16.71,1297,51,28,244,6.799,18000,918,0,,,2026-07-05T10:30:09.670Z,P1,E2,N=10,2,918,0,156.9,0,waiting
E2,3,3,2026-07-05T11:36:57,10,10.77,16.68,1297,51,25,233,6.815,18000,918.6,0,,,2026-07-05T10:34:07.428Z,P1,E2,N=10,3,918.6,0,225.8,0,waiting
E2,3,4,2026-07-05T11:37:27,10,10.69,16.71,1297,51,25,233,6.777,18000,961.1,0,,,2026-07-05T10:35:31.059Z,P1,E2,N=10,4,961.1,0,68.9,0,waiting
